agno,region,ingre_medio,inter_inf,inter_sup,calidad
2010,0,380807.9227997254,368092.1564324469,393523.6891670039,fiable
2010,15,305839.5796516763,272035.1560994106,339644.003203942,fiable
2010,1,410267.9850950714,350215.6099517383,470320.3602384045,fiable
2010,2,486966.5344332305,431495.9176967514,542437.1511697097,fiable
2010,3,389803.9667908627,338194.0857163065,441413.847865419,fiable
2010,4,342061.469517249,302994.8410751403,381128.0979593578,fiable
2010,5,318302.430260534,295996.7369286682,340608.1235923998,fiable
2010,13,460270.7961607744,434325.7478771359,486215.8444444128,fiable
2010,6,309914.1291469785,287998.040673699,331830.217620258,fiable
2010,7,255745.5102292766,235709.0205234638,275781.9999350893,fiable
2010,16,236289.7971609971,201412.2740569171,271167.3202650772,fiable
2010,8,310206.2652379222,283739.0789983574,336673.4514774871,fiable
2010,9,259331.6928276848,227303.5392794997,291359.8463758699,fiable
2010,14,272657.5094790065,236901.5978800658,308413.4210779473,fiable
2010,10,292164.9269333449,267875.8345846005,316454.0192820893,fiable
2010,11,418396.938234465,370544.9266937461,466248.9497751839,fiable
2010,12,535357.3636854207,428052.9725062721,642661.7548645694,fiable
2011,0,413191.8838549241,397214.040997987,429169.7267118612,fiable
2011,15,311305.6869829054,277672.8376531464,344938.5363126645,fiable
2011,1,438881.0622722477,382320.4864883293,495441.6380561661,fiable
2011,2,531870.521298482,481452.4069550323,582288.6356419316,fiable
2011,3,436351.1311074615,337542.6829167003,535159.5792982227,fiable
2011,4,342502.1950209445,309507.0121509471,375497.3778909419,fiable
2011,5,357063.5581806008,325657.9823872904,388469.1339739111,fiable
2011,13,494197.0978772801,461464.0429967041,526930.1527578561,fiable
2011,6,316266.5528171749,293611.9426926882,338921.1629416617,fiable
2011,7,286611.2593546206,256314.6270439105,316907.8916653307,fiable
2011,16,310992.5753767164,252073.2584578141,369911.8922956187,fiable
2011,8,330788.3525514561,300300.9939996527,361275.7111032594,fiable
2011,9,283607.5848487677,259900.5917686737,307314.5779288617,fiable
2011,14,278847.3801370459,241177.878851788,316516.8814223039,fiable
2011,10,341122.7280866961,310559.9045019656,371685.5516714266,fiable
2011,11,446287.1889817456,399897.0571887262,492677.3207747651,fiable
2011,12,626860.0871984626,500350.04660473,753370.1277921952,fiable
2012,0,465903.4873578796,445469.8844645633,486337.090251196,fiable
2012,15,375145.5984181161,327685.5355372445,422605.6612989877,fiable
2012,1,473755.8378993177,427840.5136106428,519671.1621879927,fiable
2012,2,592270.8960106802,543333.8902273073,641207.9017940531,fiable
2012,3,413182.3638405001,371193.6899084391,455171.0377725611,fiable
2012,4,376670.5404332683,344734.2559566057,408606.8249099309,fiable
2012,5,400104.026742431,369272.354949482,430935.6985353801,fiable
2012,13,576268.3687641333,532717.8621393498,619818.8753889168,fiable
2012,6,348895.3657724583,321046.3458609121,376744.3856840045,fiable
2012,7,300608.2173323719,281009.190362818,320207.2443019258,fiable
2012,16,381013.5618014672,290444.3302573565,471582.7933455779,fiable
2012,8,339205.6957106038,314326.9836592642,364084.4077619434,fiable
2012,9,301523.6776234775,272616.1452738602,330431.2099730948,fiable
2012,14,334648.044320152,291402.117194919,377893.9714453849,fiable
2012,10,395549.0003363549,348915.7670782195,442182.2335944903,fiable
2012,11,457929.0161143507,409234.8870531832,506623.1451755182,fiable
2012,12,641449.7980308672,536686.7499407211,746212.8461210134,fiable
2013,0,488393.6486448392,469037.6100633278,507749.6872263505,fiable
2013,15,355006.8432786214,306065.4947435685,403948.1918136744,fiable
2013,1,523733.8772080401,473059.7231022509,574408.0313138292,fiable
2013,2,630580.1091596528,569741.3292546798,691418.8890646258,fiable
