RBD;DV_RBD;NOM_RBD;RBD_A1;RBD_A2;COD_DEPE;COD_DEPE2;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2020_25;SEL2020_35;SEL
1;9;LICEO POLITECNICO ARICA; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;23,437452;47,086687;0;100;0;85,135741;1532;42,585993;2;2;3
2;7;PARVULARIO LAS ESPIGUITAS; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;39,315564;55,224014;90,918182;100;71,6;96,660815;1512;62,309953;2;2;3
3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES; ; ;6;5;15;151;15101;ARICA;151;ARICA;1;29,871585;57,854875;83,033333;100;68,133333;83,392098;1541;55,98678;2;2;3
4;3;LICEO OCTAVIO PALMA PEREZ; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;46,872478;54,284818;85,94;100;92;94,777983;1532;65,150122;2;2;3
5;1;JOVINA NARANJO FERNANDEZ; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;48,690327;53,757389;96,4;100;78,166667;94,336781;1532;65,513915;2;2;3
7;8;L. POLI. ANTONIO VARAS DE LA BARRA; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;29,168294;55,690579;0;100;0;92,306536;1532;48,693069;2;2;3
8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;38,69549;55,736442;94,69;100;85,75;91,764478;1532;62,08062;2;2;3
9;4;ESCUELA REPUBLICA DE ISRAEL; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;51,54489;55,272627;98;100;98,333333;95,638661;1511;68,385117;2;2;3
10;8;ESCUELA REPUBLICA DE FRANCIA; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;32,011385;50,557815;88,12;100;74,166667;91,606253;1512;57,14931;2;2;3
11;6;ESC. GRAL. PEDRO LAGOS MARCHANT; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;29,7946;48,210503;87,8;100;60,333333;92,837061;1512;55,231763;2;2;3
12;4;ESCUELA GRAL JOSE MIGUEL CARRERA; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;47,209071;50,773659;97,17;100;90,083333;95,310358;1512;64,986626;2;2;3
13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;44,227656;57,643916;96,52;100;93,833333;93,655628;1512;65,591634;2;1;2
14;0;ESCUELA ROMULO J. PENA MATURANA; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;35,743179;57,885705;86,25;100;76;93,0026;1512;60,868546;2;2;3
15;9;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;34,079959;55,235883;0;100;0;90,481257;1532;49,981509;2;2;3
16;7;ESCUELA REGIMIENTO RANCAGUA; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;33,948019;53,926245;81,48;100;45,666667;94,116504;1512;57,53788;2;2;3
17;5;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;38,164115;54,219986;89,685;100;76,75;94,479007;1512;61,3063;2;2;3
18;3;ESC. COMTE. JUAN JOSE SAN MARTIN; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;42,852294;64,596083;91,03;100;78,25;93,176966;1512;65,815485;1;2;1
19;1;ESC. HUMBERTO VALENZUELA GARCIA; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;35,402621;48,601179;93,45;100;87,666667;94,091627;1512;59,397791;2;2;3
20;5;ESCUELA TUCAPEL; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;34,781038;52,672456;85,95;100;73,583333;93,405226;1512;59,002588;2;2;3
22;1;ESCUELA GABRIELA MISTRAL; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;34,924026;57,036794;90,795;100;74,416667;93,688599;1512;60,672217;2;2;3
25;6;COLEGIO CENTENARIO DE ARICA; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;34,405221;59,944663;96,83;100;82,5;90,749901;1532;61,414216;2;2;3
26;4;ESCUELA REPUBLICA DE ARGENTINA; ; ;6;5;15;151;15101;ARICA;151;ARICA;0;52,531356;54,194487;96,105;100;96,5;93,049049;1512;67,673149;1;2;1
