AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;DC_A;HH_A;DC_UTP;HH_UTP;DC_PDIR;HH_PDIR;DC_DIR;HH_DIR;DC_OES;HH_OES;DC_OF;HH_OF;DC_JUTP;HH_JUTP;DC_IG;HH_IG;DC_OR;HH_OR;DC_DIR_SOST;HH_DIR_SOST;DC_TP_SOST;HH_TP_SOST;DC_SUP_SOST;HH_SUP_SOST;DC_SUBDIR;HH_SUBDIR;DC_PROF_ENC;HH_PROF_ENC;DC_EDUC_TRAD;HH_EDUC_TRAD;DC_TOT;HH_TOT
2021;1;9;LICEO POLITECNICO ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;65;2041;1;44;0;0;1;44;1;30;0;0;0;0;2;88;1;44;0;0;0;0;0;0;0;0;0;0;0;0;71;2291
2021;2;7;PARVULARIO LAS ESPIGUITAS;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;12;434;0;0;0;0;1;44;3;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;539
2021;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;15;AYP;151;15101;ARICA;151;ARICA;6;5;1;1;26;1002;0;0;0;0;1;44;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;1090
2021;4;3;LICEO OCTAVIO PALMA PEREZ;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;47;1914;0;0;0;0;1;44;11;368;0;0;1;44;1;44;3;132;0;0;0;0;0;0;0;0;0;0;0;0;64;2546
2021;5;1;JOVINA NARANJO FERNANDEZ;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;58;2119;2;88;3;132;1;44;4;158;0;0;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;70;2629
2021;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;85;3348;3;105;0;0;1;44;4;150;0;0;2;88;2;88;1;44;0;0;1;44;0;0;0;0;0;0;0;0;99;3911
2021;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;46;1631;0;0;1;44;1;44;6;183;0;0;1;44;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;58;2078
2021;9;4;ESCUELA REPUBLICA DE ISRAEL;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;72;2938;1;44;0;0;1;44;7;272;0;0;0;0;2;88;3;118;0;0;2;84;0;0;0;0;0;0;0;0;88;3588
2021;10;8;ESCUELA REPUBLICA DE FRANCIA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;12;454;0;0;0;0;1;44;5;201;0;0;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;21;831
2021;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;27;1035;0;0;0;0;1;44;2;87;0;0;1;44;2;88;1;44;0;0;0;0;0;0;0;0;0;0;1;38;35;1380
2021;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;26;985;0;0;0;0;1;44;3;84;0;0;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;33;1245
2021;13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;19;698;1;44;0;0;1;44;5;169;0;0;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;29;1087
2021;14;0;ESCUELA ROMULO J. PENA MATURANA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;20;684;0;0;0;0;1;44;7;230;0;0;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;31;1090
2021;15;9;LICEO ARTISTICO DR. JUAN NOE CREVANI;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;46;1584;0;0;1;44;1;44;5;184;0;0;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;56;1988
2021;16;7;ESCUELA REGIMIENTO RANCAGUA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;20;755;0;0;1;44;1;44;4;126;0;0;1;44;0;0;1;44;0;0;1;44;0;0;0;0;0;0;0;0;29;1101
2021;17;5;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;31;1165;0;0;0;0;1;44;0;0;0;0;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;35;1341
2021;18;3;ESC. COMTE. JUAN JOSE SAN MARTIN;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;30;1096;0;0;1;44;1;44;3;102;0;0;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;38;1418
2021;19;1;ESC. HUMBERTO VALENZUELA GARCIA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;23;834;0;0;0;0;1;44;1;43;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;2;66;29;1075
2021;20;5;ESCUELA TUCAPEL;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;32;1207;0;0;0;0;1;44;11;342;0;0;1;44;1;44;2;88;0;0;0;0;0;0;1;44;0;0;0;0;49;1813
2021;21;3;ESCUELA CARLOS GUIRAO MASSIF;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
