AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_SI_1;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_ENS_5;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT
2021;1;9;LICEO POLITECNICO ARICA;6;5;0;15;AYP;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;286;148;434;115;115;230;401;263;0;664;0;0;0;0;0;0;20;16;36;0;0;0
2021;2;7;PARVULARIO LAS ESPIGUITAS;6;5;0;15;AYP;151;15101;ARICA;151;ARICA;1;0;81;89;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;89;0;170;8;0;0;0;0;0;0;0;8;0;0;0
2021;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;6;5;1;15;AYP;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;460;0;460;0;0;0;0;0;0;0;0;9;1;10;0;0;0;0;0;0;469;1;0;470;0;0;43;0;0;4;0;0;47;0;0;0
2021;4;3;LICEO OCTAVIO PALMA PEREZ;6;5;0;15;AYP;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;443;531;974;0;0;0;0;0;0;0;0;0;443;531;0;974;0;0;0;0;27;0;0;0;27;0;0;0
2021;5;1;JOVINA NARANJO FERNANDEZ;6;5;0;15;AYP;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;137;96;233;0;0;0;0;0;0;0;0;234;242;476;66;43;109;0;0;0;0;0;0;437;381;0;818;0;8;0;0;15;5;0;0;28;0;0;0
2021;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;6;5;0;15;AYP;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;689;455;1144;0;0;0;689;455;0;1144;0;0;0;0;0;0;40;0;40;0;0;0
2021;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;6;5;0;15;AYP;151;15101;ARICA;151;ARICA;1;0;42;18;60;0;166;118;284;0;0;0;0;0;0;0;0;202;124;326;0;0;0;0;0;0;0;0;0;410;260;0;670;2;8;0;0;12;0;0;0;22;0;0;0
2021;9;4;ESCUELA REPUBLICA DE ISRAEL;6;5;0;15;AYP;151;15101;ARICA;151;ARICA;1;0;84;106;190;0;652;594;1246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;736;700;0;1436;7;33;0;0;0;0;0;0;40;0;0;0
2021;10;8;ESCUELA REPUBLICA DE FRANCIA;6;5;0;15;AYP;151;15101;ARICA;151;ARICA;1;0;5;10;15;0;1;187;188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;197;0;203;0;8;0;0;0;0;0;0;8;1;0;1
2021;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;6;5;0;15;AYP;151;15101;ARICA;151;ARICA;1;0;19;12;31;0;164;137;301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183;149;0;332;2;11;0;0;0;0;0;0;13;0;0;0
