RBD,NOM_RBD,DOCENTES
1,LICEO POLITECNICO ARICA,42
2,PARVULARIO LAS ESPIGUITAS,26
4,LICEO OCTAVIO PALMA PEREZ,45
5,JOVINA NARANJO FERNANDEZ,51
7,L. POLI. ANTONIO VARAS DE LA BARRA,70
8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,53
9,ESCUELA REPUBLICA DE ISRAEL,103
10,ESCUELA REPUBLICA DE FRANCIA,27
11,ESC. GRAL. PEDRO LAGOS MARCHANT,41
12,ESCUELA GRAL JOSE MIGUEL CARRERA,29
13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,40
14,ESCUELA ROMULO J. PENA MATURANA,26
15,LICEO ARTISTICO DR. JUAN NOE CREVANI,50
16,ESCUELA REGIMIENTO RANCAGUA,42
17,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,34
18,ESC. COMTE. JUAN JOSE SAN MARTIN,47
19,ESC. HUMBERTO VALENZUELA GARCIA,40
20,ESCUELA TUCAPEL,54
22,ESCUELA GABRIELA MISTRAL,80
25,COLEGIO CENTENARIO DE ARICA,66
26,ESCUELA REPUBLICA DE ARGENTINA,32
27,ESCUELA ESMERALDA,33
28,ESCUELA RICARDO SILVA ARRIAGADA,49
29,ESCUELA AMERICA,50
30,ESCUELA DR. RICARDO OLEA GUERRA,40
31,ESCUELA DARIO SALAS DIAZ,25
32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,57
33,ESCUELA CARLOS CONDELL DE LA HAZA,11
35,ESCUELA GRAL. MANUEL BAQUEDANO,17
36,ESCUELA IGNACIO CARRERA PINTO,28
38,ESCUELA ESPAÑA,33
39,ESCUELA PAMPA ALGODONAL,8
41,ESCUELA VALLE DE CHACA,3
42,ESCUELA MOLINOS LLUTA,8
43,JARDIN INFANTIL CEPILLIN,3
45,COLEGIO ITALIANO SANTA ANA,41
49,JARDIN INFANTIL PADRE LUIS GALLARDO,4
50,COLEGIO ADVENTISTA DE ARICA,28
52,LICEO BICENTENARIO DOMINGO SANTA MARIA,110
55,JARDIN INFANTIL MONTESSORI GARDEN,13
56,COLEGIO SAN MARCOS DE ARICA,38
58,JARDIN INFANTIL PETETE J.M. BORGOÐO,1
59,COLEGIO SAN JORGE,24
